"","position_name","Round","Count","Usable","Good","AVRate","Best"
"1","QB",2,1,1,1,5,5
"2","QB",3,7,7,7,9.29,9.29
"3","QB",4,10,9,7,5.6,5.6
"4","QB",5,7,7,5,6.57,6.57
"5","QB",6,6,6,3,6,6
"6","QB",7,8,7,6,4.25,4.25
"7","QB",8,9,8,5,4.33,4.33
"8","QB",9,11,10,7,4.82,4.82
"9","QB",10,14,12,8,4.36,4.36
"10","QB",11,11,10,6,3.45,3.45
"11","QB",12,9,8,3,2.44,2.44
"12","QB",13,8,7,3,3.25,3.25
"13","QB",14,13,10,4,3,3
"14","QB",15,10,7,2,2.2,2.2
"15","QB",16,17,12,5,2.18,2.18
"16","QB",17,28,19,4,1.79,1.79
"17","QB",18,127,39,2,0.54,0.54
"18","RB",1,27,26,24,8.7,8.7
"19","RB",2,27,27,25,8.22,8.22
"20","RB",3,12,11,11,7.33,7.33
"21","RB",4,14,13,10,5.79,5.79
"22","RB",5,15,14,10,5.2,5.2
"23","RB",6,16,13,10,4.12,4.12
"24","RB",7,23,19,15,5.35,5.35
"25","RB",8,19,16,9,4.11,4.11
"26","RB",9,20,20,10,3.7,3.7
"27","RB",10,20,16,9,3.6,3.6
"28","RB",11,16,12,3,2.44,2.44
"29","RB",12,23,15,6,1.87,1.87
"30","RB",13,18,11,5,2.22,2.22
"31","RB",14,16,12,6,2.94,2.94
"32","RB",15,27,12,6,1.59,1.59
"33","RB",16,23,12,5,1.7,1.7
"34","RB",17,66,24,5,0.94,0.94
"35","RB",18,263,62,8,0.49,0.49
"36","TE",1,3,3,3,11,11
"37","TE",2,3,3,2,4.67,4.67
"38","TE",3,5,5,4,6.6,6.6
"39","TE",4,5,5,5,6.2,6.2
"40","TE",5,6,6,4,6.33,6.33
"41","TE",6,5,5,5,6.4,6.4
"42","TE",7,4,4,1,2.75,2.75
"43","TE",8,8,8,5,4.38,4.38
"44","TE",9,9,9,2,3.33,3.33
"45","TE",10,6,6,3,3.67,3.67
"46","TE",11,8,6,4,2.88,2.88
"47","TE",12,14,11,5,2.57,2.57
"48","TE",13,11,9,4,3.18,3.18
"49","TE",14,13,12,5,2.69,2.69
"50","TE",15,13,9,2,1.92,1.92
"51","TE",16,16,13,3,2.19,2.19
"52","TE",17,29,19,8,1.97,1.97
"53","TE",18,226,82,9,0.65,0.65
"54","WR",1,30,30,29,9.37,9.37
"55","WR",2,28,28,24,7.14,7.14
"56","WR",3,35,34,31,6.6,6.6
"57","WR",4,33,32,24,5.82,5.82
"58","WR",5,29,28,23,5.69,5.69
"59","WR",6,31,29,18,5.06,5.06
"60","WR",7,32,31,20,4.78,4.78
"61","WR",8,26,19,8,3.12,3.12
"62","WR",9,15,14,4,3.53,3.53
"63","WR",10,21,19,8,3.14,3.14
"64","WR",11,18,15,3,2.39,2.39
"65","WR",12,27,21,10,3.22,3.22
"66","WR",13,21,19,5,2.48,2.48
"67","WR",14,28,18,8,2.29,2.29
"68","WR",15,25,15,5,1.88,1.88
"69","WR",16,29,18,6,1.97,1.97
"70","WR",17,63,35,6,1.29,1.29
"71","WR",18,475,161,22,0.68,0.68
